"Gross domestic product (GDP) at basic prices, by census metropolitan area (CMA) (x 1,000,000) 1 2 3"
"Frequency: Annual"
"Table: 36-10-0468-01 (formerly CANSIM 381-0036)"
"Release date: 2021-12-08"
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part"
""
""

"Geography","2014","2015","2016","2017","2018"
,"Dollars",,,,
"Canada","1,867,752","1,856,814","1,886,103","1,991,534","2,083,379"
"Newfoundland and Labrador","32,137","28,924","29,005","31,003","31,836"
"St. John's, Newfoundland and Labrador","12,577","13,165","13,174","13,032","13,073"
"Non-census metropolitan areas, Newfoundland and Labrador","19,559","15,760","15,831","17,970","18,763"
"Prince Edward Island","5,332","5,552","5,803","6,156","6,326"
"Nova Scotia","36,258","37,028","37,795","39,329","40,740"
"Halifax, Nova Scotia","19,738","20,142","20,551","21,945","22,790"
"Non-census metropolitan areas, Nova Scotia","16,521","16,886","17,245","17,385","17,950"
"New Brunswick","29,650","30,603","31,222","32,456","33,691"
"Moncton, New Brunswick","6,731","6,794","6,945","7,250","7,611"
"Saint John, New Brunswick","6,086","6,537","6,439","6,354","6,646"
"Non-census metropolitan areas, New Brunswick","16,834","17,271","17,838","18,852","19,434"
"Quebec","348,098","357,759","368,635","386,407","405,614"
"Saguenay, Quebec","6,720","6,960","6,703","7,021","7,634"
"Québec, Quebec","40,177","42,195","42,798","44,963","46,965"
"Sherbrooke, Quebec","7,583","7,885","8,017","8,559","9,280"
"Trois-Rivières, Quebec","5,815","6,105","6,287","6,655","6,529"
"Montréal, Quebec","190,227","194,119","200,945","211,625","221,893"
"Ottawa – Gatineau, Quebec part, Ontario/Quebec","11,645","12,077","12,213","13,097","13,728"
"Non-census metropolitan areas, Quebec","85,931","88,420","91,670","94,487","99,585"
"Ontario","676,838","706,837","733,761","764,465","800,376"
"Ottawa – Gatineau, Ontario part, Ontario/Quebec","60,139","60,989","64,366","67,241","70,086"
"Kingston, Ontario","8,037","8,470","8,707","8,927","9,499"
"Belleville, Ontario","4,391","4,681","4,649","5,057","5,242"
"Peterborough, Ontario","4,565","4,758","4,775","4,796","5,036"
"Oshawa, Ontario","11,598","12,456","12,642","13,246","14,153"
"Toronto, Ontario","349,151","364,219","385,934","405,156","421,676"
"Hamilton, Ontario","31,231","32,859","33,197","34,673","36,720"
"St. Catharines – Niagara, Ontario","14,690","14,998","15,230","15,620","17,088"
"Kitchener – Cambridge – Waterloo, Ontario","25,666","27,215","27,496","29,273","30,467"
"Brantford, Ontario","4,751","5,196","5,302","5,604","5,875"
"Guelph, Ontario","8,801","9,227","9,520","9,641","10,118"
"London, Ontario","22,424","23,167","23,977","25,536","27,799"
"Windsor, Ontario","14,258","15,264","15,561","15,649","15,812"
"Barrie, Ontario","6,486","6,883","7,436","7,786","8,158"
"Greater Sudbury, Ontario","9,513","9,575","8,974","9,527","9,662"
"Thunder Bay, Ontario","5,869","5,987","5,981","6,148","6,338"
"Non-census metropolitan areas, Ontario","95,267","100,893","100,011","100,585","106,645"
"Manitoba","59,500","60,959","62,290","66,007","68,029"
"Winnipeg, Manitoba","38,591","40,075","41,444","43,494","45,286"
"Non-census metropolitan areas, Manitoba","20,908","20,884","20,845","22,513","22,743"
"Saskatchewan","78,506","75,306","71,464","75,302","78,368"
"Regina, Saskatchewan","16,740","16,779","16,804","16,700","18,002"
"Saskatoon, Saskatchewan","18,576","19,920","19,018","19,816","20,848"
"Non-census metropolitan areas, Saskatchewan","43,190","38,607","35,643","38,787","39,518"
"Alberta","365,191","311,906","292,562","319,212","332,659"
"Lethbridge, Alberta","5,488","5,936","6,133","6,432","6,539"
"Calgary, Alberta","107,630","105,120","101,118","104,829","110,470"
"Edmonton, Alberta","89,908","90,214","86,839","87,147","90,485"
"Non-census metropolitan areas, Alberta","162,165","110,636","98,472","120,805","125,166"
"British Columbia","225,863","231,725","243,317","260,220","274,392"
"Kelowna, British Columbia","8,320","8,556","9,126","9,659","10,360"
"Abbotsford – Mission, British Columbia","6,226","6,585","6,889","7,205","7,928"
"Vancouver, British Columbia","125,426","131,406","138,344","145,756","154,280"
"Victoria, British Columbia","18,076","18,981","19,656","20,464","21,509"
"Non-census metropolitan areas, British Columbia","67,816","66,198","69,302","77,136","80,315"
"Yukon","2,650","2,542","2,691","2,781","2,881"
"Northwest Territories","4,657","4,597","4,304","4,477","4,551"
"Nunavut","2,351","2,380","2,536","2,970","3,098"
"Canadian territorial enclaves abroad","720","696","718","748","818"




Footnotes:
1,"All census metropolitan area (CMA) and non-CMA gross domestic product (GDP) add up to the provincial GDP figures in current prices. However, there may be a lag between the CMA figures and the latest available provincial GDP measures."
2,"Gross domestic product (GDP) per capita can be estimated by dividing GDP by population. Population estimates by census metropolitan area and non-metropolitan area are available in tables 17-10-0005 and 17-10-0135."
3,"This table reflects the conversion of the experimental estimates for 2001 to 2009 published in table 36-10-0423 in November 2014 into an annual product. Moving forward, the annual publication cycle will lag the reference year by approximately three and a half years, in line with the publication of the supply and use tables (table 36-10-0478). Due to differences in methodology, the estimates may not be fully coherent with the experimental estimates."



"How to cite: Statistics Canada. Table 36-10-0468-01  Gross domestic product (GDP) at basic prices, by census metropolitan area (CMA) (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610046801
