"country","obesityRate","pop2022"
"Nauru","61","10.9030"
"Cook Islands","55.9000","17.5710"
"Palau","55.3000","18.2330"
"Marshall Islands","52.9000","60.0570"
"Tuvalu","51.6000","12.0660"
"Niue","50","1.6220"
"Tonga","48.2000","107.7490"
"Samoa","47.3000","202.2390"
"Kiribati","46","123.4190"
"Micronesia","45.8000","117.4890"
"Kuwait","37.9000","4380.3260"
"United States","36.2000","334805.2690"
"Jordan","35.5000","10300.8690"
"Saudi Arabia","35.4000","35844.9090"
"Qatar","35.1000","2979.9150"
"Lebanon","33.7000","6684.8490"
"Libya","32.5000","7040.7450"
"Turkey","32.1000","85561.9760"
"Egypt","32","106156.6920"
"United Arab Emirates","31.7000","10081.7850"
"Bahamas","31.6000","400.5160"
"New Zealand","30.8000","4898.2030"
"Iraq","30.4000","42164.9650"
"Fiji","30.2000","909.4660"
"Bahrain","29.8000","1783.9830"
"Canada","29.4000","38388.4190"
"Australia","29","26068.7920"
"Mexico","28.9000","131562.7720"
"Malta","28.9000","444.0330"
"South Africa","28.3000","60756.1350"
"Argentina","28.3000","46010.2340"
"Chile","28","19250.1950"
"Uruguay","27.9000","3496.0160"
"Dominica","27.9000","72.3440"
"United Kingdom","27.8000","68497.9070"
"Syria","27.8000","19364.8090"
"Dominican Republic","27.6000","11056.3700"
"Algeria","27.4000","45350.1480"
"Oman","27","5323.9930"
"Tunisia","26.9000","12046.6560"
"Hungary","26.4000","9606.2590"
"Suriname","26.4000","596.8310"
"Lithuania","26.3000","2661.7080"
"Morocco","26.1000","37772.7560"
"Israel","26.1000","8922.8920"
"Czech Republic","26","10736.7840"
"Iran","25.8000","86022.8370"
"Costa Rica","25.7000","5182.3540"
"Venezuela","25.6000","29266.9910"
"Andorra","25.6000","77.4630"
"Ireland","25.3000","5020.1990"
"Vanuatu","25.2000","321.8320"
"Bulgaria","25","6844.5970"
"Greece","24.9000","10316.6370"
"Jamaica","24.7000","2985.0940"
"Cuba","24.6000","11305.6520"
"El Salvador","24.6000","6550.3890"
"Belarus","24.5000","9432.8000"
"Croatia","24.4000","4059.2860"
"Ukraine","24.1000","43192.1220"
"Belize","24.1000","412.1900"
"Saint Vincent and the Grenadines","24.1000","111.5510"
"Spain","23.8000","46719.1420"
"Nicaragua","23.7000","6779.1000"
"Latvia","23.6000","1848.8370"
"Montenegro","23.3000","627.9500"
"Russia","23.1000","145805.9470"
"Poland","23.1000","37739.7850"
"Norway","23.1000","5511.3700"
"Barbados","23.1000","288.0230"
"Saint Kitts and Nevis","22.9000","53.8710"
"Haiti","22.7000","11680.2830"
"Panama","22.7000","4446.9640"
"Luxembourg","22.6000","642.3710"
"Romania","22.5000","19031.3350"
"Solomon Islands","22.5000","721.1590"
"Germany","22.3000","83883.5960"
"Colombia","22.3000","51512.7620"
"Finland","22.2000","5554.9600"
"Brazil","22.1000","215353.5930"
"Belgium","22.1000","11668.2780"
"Iceland","21.9000","345.3930"
"Cyprus","21.8000","1223.3870"
"Georgia","21.7000","3968.7380"
"Albania","21.7000","2866.3740"
"France","21.6000","65584.5180"
"Serbia","21.5000","8653.0160"
"Honduras","21.4000","10221.2470"
"Papua New Guinea","21.3000","9292.1690"
"Grenada","21.3000","113.4750"
"Guatemala","21.2000","18584.0390"
"Estonia","21.2000","1321.9100"
"Kazakhstan","21","19205.0430"
"Portugal","20.8000","10140.5700"
"Sweden","20.6000","10218.9710"
"Mongolia","20.6000","3378.0780"
"Slovakia","20.5000","5460.1930"
"Netherlands","20.4000","17211.4470"
"Paraguay","20.3000","7305.8430"
"Bolivia","20.2000","11992.6560"
"Armenia","20.2000","2971.9660"
"Slovenia","20.2000","2078.0340"
"Guyana","20.2000","794.0450"
"Austria","20.1000","9066.7100"
"Italy","19.9000","60262.7700"
"Ecuador","19.9000","18113.3610"
"Azerbaijan","19.9000","10300.2050"
"Peru","19.7000","33684.2080"
"Denmark","19.7000","5834.9500"
"Saint Lucia","19.7000","185.1130"
"Switzerland","19.5000","8773.6370"
"Moldova","18.9000","4013.1710"
"Botswana","18.9000","2441.1620"
"Antigua and Barbuda","18.9000","99.5090"
"Turkmenistan","18.6000","6201.9430"
"Trinidad and Tobago","18.6000","1406.5850"
"Bosnia and Herzegovina","17.9000","3249.3170"
"Namibia","17.2000","2633.8740"
"Yemen","17.1000","31154.8670"
"Uzbekistan","16.6000","34382.0840"
"Kyrgyzstan","16.6000","6728.2710"
"Lesotho","16.6000","2175.6990"
"Eswatini","16.5000","1184.8170"
"Malaysia","15.6000","33181.0720"
"Zimbabwe","15.5000","15331.4280"
"Gabon","15","2331.5330"
"Tajikistan","14.2000","9957.4640"
"Brunei","14.1000","445.4310"
"Seychelles","14","99.4260"
"Djibouti","13.5000","1016.0970"
"Mauritania","12.7000","4901.9810"
"Sao Tome and Principe","12.4000","227.6790"
"Cape Verde","11.8000","567.6780"
"Cameroon","11.4000","27911.5480"
"Ghana","10.9000","32395.4500"
"Mauritius","10.8000","1274.7270"
"Ivory Coast","10.3000","27742.2980"
"Gambia","10.3000","2558.4820"
"Thailand","10","70078.2030"
"Liberia","9.9000","5305.1170"
"Benin","9.6000","12784.7260"
"Republic of the Congo","9.6000","5797.8050"
"Guinea-Bissau","9.5000","2063.3670"
"Nigeria","8.9000","216746.9340"
"Senegal","8.8000","17653.6710"
"Sierra Leone","8.7000","8306.4360"
"Pakistan","8.6000","229488.9940"
"Sudan","8.6000","45992.0200"
"Mali","8.6000","21473.7640"
"South Sudan","8.6000","11618.5110"
"Maldives","8.6000","540.9850"
"Tanzania","8.4000","63298.5500"
"Togo","8.4000","8680.8370"
"Somalia","8.3000","16841.7950"
"Angola","8.2000","35027.3430"
"Zambia","8.1000","19470.2340"
"Equatorial Guinea","8","1496.6620"
"Comoros","7.8000","907.4190"
"Guinea","7.7000","13865.6910"
"Central African Republic","7.5000","5016.6780"
"Mozambique","7.2000","33089.4610"
"Kenya","7.1000","56215.2210"
"Indonesia","6.9000","279134.5050"
"North Korea","6.8000","25990.6790"
"DR Congo","6.7000","95240.7920"
"Philippines","6.4000","112508.9940"
"Bhutan","6.4000","787.9410"
"China","6.2000","1448471.4000"
"Chad","6.1000","17413.5800"
"Singapore","6.1000","5943.5460"
"Myanmar","5.8000","55227.1430"
"Malawi","5.8000","20180.8390"
"Rwanda","5.8000","13600.4640"
"Burkina Faso","5.6000","22102.8380"
"Afghanistan","5.5000","40754.3880"
"Niger","5.5000","26083.6600"
"Burundi","5.4000","12624.8400"
"Uganda","5.3000","48432.8630"
"Madagascar","5.3000","29178.0770"
"Laos","5.3000","7481.0230"
"Sri Lanka","5.2000","21575.8420"
"Eritrea","5","3662.2440"
"South Korea","4.7000","51329.8990"
"Ethiopia","4.5000","120812.6980"
"Japan","4.3000","125584.8380"
"Nepal","4.1000","30225.5820"
"India","3.9000","1406631.7760"
"Cambodia","3.9000","17168.6390"
"Timor-Leste","3.8000","1369.4290"
"Bangladesh","3.6000","167885.6890"
"Vietnam","2.1000","98953.5410"
